time,snowfall_sum,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,snow_depth_mean
2026-05-12,2.03,2.9,-1.8,-8.6,8.0,36.4,0.9954166666666667
2026-05-13,1.12,1.6,-2.0,-14.2,6.9,30.6,1.0870833333333334
2026-05-14,0.35,0.5,-1.7,-14.9,7.5,31.3,1.0670833333333334
2026-05-15,0.0,0.0,-1.0,-11.9,6.8,22.0,1.0425
2026-05-16,0.0,0.0,-0.6,-13.2,7.3,23.0,1.01125
2026-05-17,0.0,0.0,1.7,-14.8,7.4,27.7,0.9808333333333333
2026-05-18,0.0,0.0,3.9,-11.5,7.5,28.4,0.9608333333333333
2026-05-19,0.07,0.1,1.6,-8.2,6.7,25.2,0.94
2026-05-20,0.07,0.1,1.2,-13.2,7.9,23.8,0.9154166666666668
2026-05-21,0.56,0.8,0.4,-6.7,6.9,31.3,0.8945833333333333
2026-05-22,6.44,9.2,-0.9,-7.2,7.3,31.0,0.94625
2026-05-23,0.0,0.0,-1.5,-14.0,7.3,24.8,1.0045833333333334
2026-05-24,0.49,0.7,-0.5,-15.5,7.8,29.5,0.9904166666666666
2026-05-25,2.38,3.4,-1.9,-11.4,7.4,33.5,0.98625
2026-05-26,0.0,0.0,-0.6,-11.3,6.9,28.4,0.98625
2026-05-27,0.0,0.0,1.2,-13.0,7.3,32.8,0.9616666666666666
2026-05-28,0.21,0.3,0.0,-14.8,7.7,27.4,0.9408333333333333
2026-05-29,0.0,0.0,-0.2,-16.8,7.5,25.9,0.9166666666666666
2026-05-30,0.42,0.6,-0.3,-11.1,6.6,23.8,0.89
2026-05-31,1.4,2.0,2.1,-4.9,5.7,28.4,0.88375
2026-06-01,0.0,0.0,2.6,-6.7,6.7,29.2,0.8608333333333333
2026-06-02,0.0,0.0,1.3,-11.6,6.8,23.0,0.8262499999999999
2026-06-03,0.0,0.0,1.9,-9.0,6.0,22.0,0.7916666666666666
2026-06-04,0.56,0.8,1.0,-8.0,6.0,17.6,0.7604166666666666
2026-06-05,1.19,1.7,1.0,-2.2,5.9,26.6,0.7445833333333334
2026-06-06,0.0,0.0,-0.1,-8.0,5.6,16.6,0.7166666666666667
2026-06-07,0.0,0.0,0.9,-12.2,6.7,19.8,0.6916666666666668
2026-06-08,0.0,0.0,1.5,-12.2,6.7,22.7,0.6720833333333335
2026-06-09,0.0,0.0,1.6,-13.3,7.5,23.8,0.6554166666666666
2026-06-10,0.0,0.0,2.8,-12.1,7.2,24.5,0.6375000000000001
2026-06-11,3.64,5.2,2.1,-14.4,7.1,24.1,0.6208333333333333
