elev_lo_m,elev_hi_m,n_pixels,snow_fraction
4100.0,4200.0,312,0.842948717948718
4200.0,4300.0,638,0.37460815047021945
4300.0,4400.0,3234,0.3812615955473098
4400.0,4500.0,12724,0.6469663627790003
4500.0,4600.0,14196,0.7002676810369118
4600.0,4700.0,15668,0.6651774317079397
4700.0,4800.0,14332,0.6909014792073681
4800.0,4900.0,13254,0.7615814093858457
4900.0,5000.0,11589,0.8549486582103719
5000.0,5100.0,12506,0.9284343515112746
5100.0,5200.0,8745,0.9408805031446541
5200.0,5300.0,5851,0.9150572551700564
5300.0,5400.0,3375,0.9004444444444445
5400.0,5500.0,1169,0.8768177929854577
5500.0,5600.0,783,0.9616858237547893
